hippo_id,smiles,inchikey,required_amount_mg,num_poses,poses,tags,num_routes,num_reaction_steps,reaction_dependencies,reactant_dependencies,route_ids,chemistry_types,is_scaffold,scaffold_series
87275,C#CCOCC(=O)Nc1cc(Cl)c(F)cc1N,RVKZEAKZGTVGIA-UHFFFAOYSA-N,1,1,{112655},[],1,{1},[73846],"{10293, 86614}",[73163],Ester_amidation,False,[2924]
64280,COc1ccc(F)cc1C(=O)N1CCNC(C)C1C,SZKWZDPNGMZJHH-UHFFFAOYSA-N,1,4,"{80416, 80417, 80418, 80415}",[],1,{1},[51369],"{63203, 63062}",[50694],Amidation,False,[1316]
31711,CC(C)Cc1nc(Cn2ccc(Br)c(Cl)c2=O)no1,FIKQSZOCVPTCTI-UHFFFAOYSA-N,1,1,{35440},[],1,{1},[22968],"{31657, 31621}",[22675],Nucleophilic_substitution_with_amine,False,[1917]
26939,Cn1c(Cl)c(C(=O)NCCC(Cl)Cl)c2cc(Cl)c(Cl)cc21,VZMAPPMXABTTMI-UHFFFAOYSA-N,1,1,{29373},[],1,{1},[19104],"{25833, 13690}",[18936],Amidation,False,[2188]
41763,COc1ccc(N(C)c2ccncc2O)cc1F,XHPQDAKVXLMYAN-UHFFFAOYSA-N,1,1,{47774},[],1,{1},[31088],"{17226, 4483}",[30798],Buchwald-Hartwig_amination,False,[3628]
18430,COc1ccc(Nc2c(OC)ccc3c2CCC3)cc1F,DTSZEJFKVVQXKM-UHFFFAOYSA-N,1,1,{19571},[],1,{1},[10644],"{16912, 10862}",[10580],Buchwald-Hartwig_amination,False,[3625]
30095,Cn1ncc2nc(Cl)n(CC3CCS(=O)(=O)C3)c(=O)c21,LYEUFVGGUCTBSU-UHFFFAOYSA-N,1,1,{32410},[],1,{1},[21501],"{4466, 30094}",[21234],Nucleophilic_substitution_with_amine,False,[95]
77866,COc1cccc(C(F)(F)C(=O)Nc2c(C)ccnc2CO)n1,RZYOLOOYKSKWSQ-UHFFFAOYSA-N,1,1,{100512},[],1,{1},[64239],"{37616, 77062}",[63558],Amidation,False,[1012]
58703,Cc1csc(CN(C)c2cc(F)cc3nc(N)n(C)c23)c1,YLTGAPROOKEUCH-UHFFFAOYSA-N,1,1,{73945},[],1,{1},[47032],"{58521, 12875}",[46357],Buchwald-Hartwig_amination,False,[104]
6616,COCCOc1ncccc1C(=O)N1CCCCC1c1ccc(O)nc1,HBQFMVQDSMREEH-UHFFFAOYSA-N,1,2,"{8806, 8807}",[],1,{1},[1949],"{6089, 5836}",[1939],Amidation,False,[653]
10023,NC(=O)c1cc(Cl)c(C(=O)Nc2cccc(Br)c2S)c(Cl)c1,LIVPMYYMBBCDFT-UHFFFAOYSA-N,1,1,{12355},[],1,{1},[4504],"{9264, 4579}",[4434],Amidation,False,[2944]
40715,Cn1ncc(NC(=O)OC(C)(C)C)c1-c1cc(N)c2c(c1)OCO2,NHFGUUPWDGHPIV-UHFFFAOYSA-N,1,2,"{46546, 46892}",[],1,{1},[29817],"{4480, 40714}",[29524],Sp2-sp2_Suzuki_coupling,False,[796]
36349,COc1ccc(NC(=O)C(=O)OC(C)(C)C)c(N=[N+]=[N-])c1,MELUHIUKOCZYJI-UHFFFAOYSA-N,1,1,{40603},[],1,{1},[26128],"{35584, 35733}",[25836],Buchwald-Hartwig_amidation_with_amide-like_nucleophile,False,[3624]
75646,COc1cc(C)c(C(=O)O)cc1C(=O)Nc1cc(I)c(O)c(I)c1,YFMMIRISAYEDEX-UHFFFAOYSA-N,1,1,{96591},[],1,{1},[62089],"{74586, 10228}",[61408],Ester_amidation,False,[3627]
53737,Cc1nc2ccccc2nc1C1(C2CC2)CCOCC1,RWYUVIMPTJPWPO-UHFFFAOYSA-N,1,1,{66167},[],1,{1},[42032],"{52795, 53478}",[41471],Sp3-sp2_Suzuki_coupling,False,[1473]
15707,COC(CC1CCCC1)C(=O)Nc1cccc(C(=O)NCc2cccs2)c1,KSVKSMSOIXOMEB-UHFFFAOYSA-N,1,2,"{16689, 16690}",[],1,{1},[8109],"{4450, 15706}",[8039],Amidation,False,[2916]
72443,Cn1c(=O)[nH]c2cc(C(=O)Nc3ccc(F)c([N+](=O)[O-])c3)cc(Cl)c21,NPXUXTPGHGXKGO-UHFFFAOYSA-N,1,1,{93458},[],1,{1},[58863],"{11753, 68670}",[58182],Amidation,False,[2919]
82536,COc1cc(Br)cc(C)c1Nc1cccc(F)c1Cl,WBTNDPCBISTBDL-UHFFFAOYSA-N,1,1,{106770},[],1,{1},[69035],"{16731, 8947}",[68376],Buchwald-Hartwig_amination,False,[2925]
79873,Cn1c(O)nc2c(C3(C)CCOC3)cccc21,ZDDJHSUSVFXCKN-UHFFFAOYSA-N,1,2,"{103228, 103229}",[],1,{1},[66326],"{52916, 78623}",[65647],Sp3-sp2_Suzuki_coupling,False,[1128]
8358,COc1sc(CN(CC(O)CO)C(=O)c2cc([N+](=O)[O-])nn2C)cc1Br,XCYKKTHXRDYWAK-UHFFFAOYSA-N,1,2,"{11241, 11242}",[],1,{1},[3434],"{8002, 8243}",[3411],Ester_amidation,False,[1192]
49058,CN(C)CC(=O)Nc1c(NC(=O)C2=CCCO2)ccc(O)c1C#N,KYBOJVPYOMLTIL-UHFFFAOYSA-N,1,1,{54748},[],1,{2},"[37347, 37900]","{48232, 4497, 14517}",[37380],"N-nucleophilic_aromatic_substitution, Amidation",False,[3611]
87691,Nc1c(NC(=O)COCCCBr)ccc(Br)c1F,RBXGBZIZXZWYLY-UHFFFAOYSA-N,1,1,{113170},[],1,{1},[74266],"{10336, 86686}",[73585],Ester_amidation,False,[2924]
62996,CC1CNCCN1C(=O)c1cc(F)cc(Cl)c1,HXHRCVANLJFORA-UHFFFAOYSA-N,1,2,"{78022, 78023}",[],1,{1},[50300],"{62995, 4535}",[49625],Amidation,False,[1316]
31777,CCCCc1nc(Cn2ccc(Br)c(Cl)c2=O)no1,SLEYBXRTCYLYES-UHFFFAOYSA-N,1,1,{35504},[],1,{1},[23026],"{31621, 31653}",[22733],Nucleophilic_substitution_with_amine,False,[1917]
26212,CN(CCCO)C(=O)c1cn(C)c2cc(Cl)ccc12,ZFSRXWHEPOUCLA-UHFFFAOYSA-N,1,1,{28417},[],1,{1},[18377],"{13750, 4462}",[18209],Amidation,False,[2188]
41737,COc1c(I)cc(Nc2ccncc2O)cc1I,SMUPBFYQUGCNGO-UHFFFAOYSA-N,1,1,{47748},[],1,{1},[31062],"{17258, 4483}",[30772],Buchwald-Hartwig_amination,False,[3628]
16781,COc1ccc(Nc2c(C)cccc2O)cc1Cl,CPTCCXRJTWYYNV-UHFFFAOYSA-N,1,1,{17971},[],1,{1},[8976],"{10922, 4451}",[8906],Buchwald-Hartwig_amination,False,[3625]
29052,O=c1cc(CCl)[nH]c(=O)n1CC1CCS(=O)(=O)C1,PCGIMQYKMNOYEP-UHFFFAOYSA-N,1,2,"{31412, 31413}",[],1,{1},[20933],"{4466, 29051}",[20666],Nucleophilic_substitution_with_amine,False,[95]
