1_r1_smiles,1_r2_smiles,1_reaction,2_r1_smiles,2_r2_smiles,2_reaction,compound_set,input_num,route_uuid,smiles,hit1_short,hit2_short,datetime,num_steps,flat_inchi
NC1CCC(=O)NC1,CCOC(=O)c1csc(-c2c(C)n[nH]c2C)n1,Ester_amidation,,,,cx0300a-cx1417a,195.0,J5FhY9,Cc1n[nH]c(C)c1-c1nc(C(=O)N[C@@H]2CCC(=O)NC2)cs1,cx0300a,cx1417a,2024-09-04 09:57:00,1.0,OULBTDXTVHQBAE-UHFFFAOYSA-N
O=C(O)C(CS)c1cccc(Br)c1,NC1CCC(=O)NC1,Amidation,O=C1CCC(NC(=O)C(CS)c2cccc(Br)c2)CN1,CCC(N)N,Buchwald-Hartwig_amination,cx1338a-cx0300a,40.0,TqMXju,CC[C@H](N)Nc1cccc([C@@H](CS)C(=O)N[C@@H]2CCC(=O)NC2)c1,cx1338a,cx0300a,2024-09-05 16:16:00,2.0,JAHJLJNEYRGXQB-UHFFFAOYSA-N
CNc1cnc2cccc(Br)c2n1,CN(C)C(=O)CN,Buchwald-Hartwig_amination,,,,cx0839a-cx0721a,166.0,n9AZNQ,CNc1cnc2cccc(NCC(=O)N(C)C)c2n1,cx0839a,cx0721a,2024-09-04 10:00:00,1.0,XDUHPRMEDNEUSF-UHFFFAOYSA-N
CC(C)(C)B(O)O,Brc1cnc2ccccc2n1,Sp3-sp2_Suzuki_coupling,,,,cx0839a-cx1299a,167.0,asecS4,CC(C)(C)c1cnc2ccccc2n1,cx0839a,cx1299a,2024-09-04 11:10:00,1.0,MMXSHBZOILNLPJ-UHFFFAOYSA-N
Nc1cc(Br)c[nH]1,CCCO,Mitsunobu_reaction_with_amine_alcohol_and_thioalcohol,CCCNc1cc(Br)c[nH]1,CC(C)CCB(O)O,Sp3-sp2_Suzuki_coupling,cx1278a-cx0353a,106.0,BbS6ek,CCCNc1cc(CCC(C)C)c[nH]1,cx1278a,cx0353a,2024-09-04 16:25:00,2.0,VXOZIAXPIMEJPP-UHFFFAOYSA-N
O=C(O)c1ccc(CO)c2c1OCCO2,Nc1ccccc1,Amidation,,,,cx0692a-cx1379e,290.0,YTZ9jp,O=C(Nc1ccccc1)c1ccc(CO)c2c1OCCO2,cx0692a,cx1379e,2024-09-04 10:48:00,1.0,RRJMGDPCLBVSAU-UHFFFAOYSA-N
NC1COc2ccc(CO)cc21,CCOC(=O)COC,Ester_amidation,,,,cx0969a-cx0692a,342.0,jBwSZs,COCC(=O)N[C@@H]1COc2ccc(CO)cc21,cx0692a,cx0969a,2024-09-04 10:54:00,1.0,ARCUOSJFSRBOMH-UHFFFAOYSA-N
NCc1cccs1,Cn1c(N)nc2cccc(Br)c21,Buchwald-Hartwig_amination,,,,CHIKVMac-DLS-DF005,13.0,P8QupC,Cn1c(N)nc2cccc(NCc3cccs3)c21,cx0892a,cx1203a,2024-09-03 19:03:00,1.0,DGASNXVGKHJXGC-UHFFFAOYSA-N
Nc1nc2ccc(F)cc2nc1Cl,CN,N-nucleophilic_aromatic_substitution,,,,cx0839a-cx1410a,164.0,YYvxj2,CNc1nc2cc(F)ccc2nc1N,cx1410a,cx0839a,2024-09-04 09:25:00,1.0,NEMWMYMPRDCSAZ-UHFFFAOYSA-N
CNN,CN(C)CCCNc1cccc(CCl)c1,Nucleophilic_substitution_with_amine,,,,cx0312a-cx1213b,265.0,4JWbQk,CNNCc1cccc(NCCCN(C)C)c1,cx0312a,cx1213b,2024-09-04 18:18:00,1.0,OLQDFRKRSFBPML-UHFFFAOYSA-N
