hippo_id,smiles,inchikey,required_amount_mg,num_poses,poses,tags,num_routes,num_reaction_steps,reaction_dependencies,reactant_dependencies,chemistry_types,scaffold_series
53026,OCCC1(c2nc3ccccc3nc2Br)CC1,ISLBTTYBQSBXAF-UHFFFAOYSA-N,1,1,{65083},[],1,{1},[41321],"{52777, 52914}",Sp3-sp2_Suzuki_coupling,[1473]
9936,NC(=O)c1cc(Cl)c(C(=O)Nc2cc(Cl)ccc2Cl)c(Cl)c1,WQTPYAHOMBDAHE-UHFFFAOYSA-N,1,1,{12268},[],1,{1},[4417],"{8993, 4579}",Amidation,[2944]
71125,Cn1c(=O)[nH]c2cc(C(=O)Nc3ccc(F)cc3I)cc(Cl)c21,XFSUHKJPCLBQRD-UHFFFAOYSA-N,1,1,{92031},[],1,{1},[57546],"{9026, 68670}",Amidation,[2919]
30204,O=c1c(C2CCC2)cnc(S)n1CC1CCS(=O)(=O)C1,DGQOOBMWKUHKDC-UHFFFAOYSA-N,1,1,{32505},[],1,{1},[21557],"{4466, 30203}",Nucleophilic_substitution_with_amine,[95]
88263,Nc1c(F)ccc(F)c1NC(=O)C1CNCCO1,GKYZUZACXFPWCY-UHFFFAOYSA-N,1,2,"{113846, 113847}",[],1,{1},[74837],"{10131, 86797}",Ester_amidation,[2924]
19130,COc1cc(Nc2ccc(O)cc2SC)cc(CO)c1I,FFNOBQXYFAIIIU-UHFFFAOYSA-N,1,1,{20267},[],1,{1},[11369],"{16954, 10364}",Buchwald-Hartwig_amination,[3625]
11832,COc1cc(F)cc(NC(=O)c2c(Cl)cc(C(N)=O)cc2Cl)c1,FVEMIBNPGZYBBW-UHFFFAOYSA-N,1,1,{13598},[],1,{1},[5739],"{4579, 10812}",Amidation,[2944]
26901,Cn1ccc(CNC(=O)c2cn(C)c3cc(Cl)ccc23)n1,QTNNNFRSKLYFKU-UHFFFAOYSA-N,1,1,{29322},[],1,{1},[19066],"{14090, 4462}",Amidation,[2188]
71725,COc1ccc(NC(=O)c2cc(Cl)c3c(c2)[nH]c(=O)n3C)c(Br)c1,HUMKDTXNDPRYGV-UHFFFAOYSA-N,1,1,{92646},[],1,{1},[58146],"{10824, 68670}",Amidation,[2919]
78880,Cn1cnc2cccc(C3CC3(C)C)c21,SLYHQCIYLUPBOA-UHFFFAOYSA-N,1,1,{101875},[],1,{1},[65257],"{78582, 54254}",Sp3-sp2_Suzuki_coupling,[1128]
71166,Cc1cc(F)ccc1NC(=O)c1cc(Cl)c2c(c1)[nH]c(=O)n2C,UDTBBONDMABSEF-UHFFFAOYSA-N,1,1,{92072},[],1,{1},[57587],"{9052, 68670}",Amidation,[2919]
45030,COc1cncc(F)c1Nc1cc(C)c(OC)c(C)c1,UOOIIIQXRNWWTD-UHFFFAOYSA-N,1,1,{51003},[],1,{1},[34513],"{12012, 40982}",Buchwald-Hartwig_amination,[3628]
6524,CCOc1nc(Cl)ccc1C(=O)N1CCc2nc(O)c(C(N)=O)cc2C1,YXEVNELPDZXYRA-UHFFFAOYSA-N,1,1,{8708},[],1,{1},[1864],"{6248, 5801}",Amidation,[653]
88817,CN(C(=O)C1(CN)CCCO1)c1cccc(Br)c1N,LNFYLCMJCHFIRH-UHFFFAOYSA-N,1,1,{114479},[],1,{1},[75382],"{86282, 87483}",Ester_amidation,[2924]
53056,CC1(C)CC1(C)c1cnc2c(F)cccc2n1,WEMAMEZFHHEZDI-UHFFFAOYSA-N,1,2,"{65122, 65123}",[],1,{1},[41353],"{52908, 52788}",Sp3-sp2_Suzuki_coupling,[1473]
79993,Cn1c(N)nc2cccc(C(C)(C)C3CC3)c21,AVZSPSRBNJYHEK-UHFFFAOYSA-N,1,1,{103432},[],1,{1},[66450],"{52920, 4530}",Sp3-sp2_Suzuki_coupling,[1128]
89352,COC(C)(C(=O)O)C(=O)Nc1cc(C)c(F)cc1N,BHJNNOLNUWTRDK-UHFFFAOYSA-N,1,2,"{115234, 115235}",[],1,{1},[76061],"{10960, 80778}",Ester_amidation,[2924]
87731,Nc1ccc(Br)c(O)c1NC(=O)COCCCBr,WHYBVIKFJCREMW-UHFFFAOYSA-N,1,1,{113210},[],1,{1},[74306],"{10330, 86686}",Ester_amidation,[2924]
10022,NC(=O)c1cc(Cl)c(C(=O)Nc2c(O)cccc2Br)c(Cl)c1,VKBULLRWWDQECA-UHFFFAOYSA-N,1,1,{12354},[],1,{1},[4503],"{9266, 4579}",Amidation,[2944]
86279,Cc1cc(NC(=O)C2CO2)c(N)cc1Br,QZGCJUWWWQCQFQ-UHFFFAOYSA-N,1,2,"{111450, 111451}",[],1,{1},[72736],"{86242, 10157}",Ester_amidation,[2924]
8248,COc1sc(CN(CC(O)CO)C(=O)c2cc(Br)nn2C)cc1Br,PVIMVDAEIOEXPJ-UHFFFAOYSA-N,1,1,{11142},[],1,{1},[3326],"{8243, 7933}",Ester_amidation,[1192]
77584,CCOc1cccc(CC(=O)Nc2c(C(N)=O)ccnc2Cl)n1,JELULYXEMYQADH-UHFFFAOYSA-N,1,1,{100012},[],1,{1},[63957],"{37819, 77003}",Amidation,[1012]
